dataset,metric,grpo_mean,baseline_mean,diff_grpo_minus_baseline,n_grpo,n_baseline,n_grpo_nonnull,n_baseline_nonnull
catechol_flow_chemistry,gate_score_estimand,1.0,1.0,0.0,36,4,35,3
catechol_flow_chemistry,gate_score_data_applicability,0.571429,0.666667,-0.095238,36,4,35,3
catechol_flow_chemistry,gate_score_multiplicity,1.0,1.0,0.0,36,4,35,3
catechol_flow_chemistry,gate_score_execution,0.857143,1.0,-0.142857,36,4,35,3
catechol_flow_chemistry,gate_score_paper_fidelity,0.371429,0.25,0.121429,36,4,35,3
catechol_flow_chemistry,gate_score_assumption_admissibility,0.0,0.0,0.0,36,4,35,3
catechol_flow_chemistry,gate_score_robustness,0.828571,0.777778,0.050793,36,4,35,3
catechol_flow_chemistry,gate_score_data_method_structural_fit,1.0,1.0,0.0,36,4,35,3
catechol_flow_chemistry,gate_score_internal_coherence,1.0,1.0,0.0,36,4,35,3
catechol_flow_chemistry,n_assumptions_declared,2.257143,2.0,0.257143,36,4,35,3
catechol_flow_chemistry,assumption_all_held_frac,0.171429,0.333333,-0.161904,36,4,35,3
catechol_flow_chemistry,assumption_zero_held_frac,0.542857,0.333333,0.209524,36,4,35,3
catechol_flow_chemistry,n_output_contract_items_declared,5.742857,4.666667,1.07619,36,4,35,3
catechol_flow_chemistry,output_contract_all_held_frac,0.0,0.0,0.0,36,4,35,3
catechol_flow_chemistry,output_contract_zero_held_frac,1.0,1.0,0.0,36,4,35,3
claisen_rearrangement,reward,0.224906,0.225531,-0.000625,36,4,36,4
claisen_rearrangement,implementation_score,0.122763,0.20747,-0.084707,36,4,36,4
claisen_rearrangement,data_score,0.265354,0.207712,0.057642,36,4,36,4
claisen_rearrangement,validation_credit,0.466667,0.527083,-0.060416,36,4,36,4
claisen_rearrangement,abstention_bonus,0.008333,0.0125,-0.004167,36,4,36,4
claisen_rearrangement,action_cost_penalty,0.074167,0.07,0.004167,36,4,36,4
claisen_rearrangement,n_actions,7.416667,7.0,0.416667,36,4,36,4
claisen_rearrangement,retrieval_bm25_score,45.633301,31.744449,13.888852,36,4,36,4
claisen_rearrangement,retrieval_rrf_score,0.015463,0.015787,-0.000324,36,4,36,4
claisen_rearrangement,retrieval_best_intent_rank,4.80696,3.4,1.40696,36,4,36,4
claisen_rearrangement,category_entropy,2.513501,2.090431,0.42307,36,4,36,4
claisen_rearrangement,distinct_category_count,6.930556,5.25,1.680556,36,4,36,4
claisen_rearrangement,evidence_depth_full_text_frac,1.0,1.0,0.0,36,4,36,4
claisen_rearrangement,n_observations,283.0,283.0,0.0,36,4,21,4
claisen_rearrangement,cv_metric,0.465645,0.394168,0.071477,36,4,18,2
claisen_rearrangement,bootstrap_sign_stability,0.33852,0.479197,-0.140677,36,4,18,2
claisen_rearrangement,paper_diagnostic_coverage,1.0,,,36,4,8,0
claisen_rearrangement,condition_number,,,,36,4,0,0
claisen_rearrangement,rubric_score,0.133923,0.20747,-0.073547,36,4,33,4
claisen_rearrangement,implementation_coverage_score,0.563743,0.885119,-0.321376,36,4,33,4
claisen_rearrangement,assumption_check_recall,0.227273,0.666667,-0.439394,36,4,33,4
